Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,5,5.68e+26,-1073544732.8753335,774154708.3897886,365820392.0108298,-565241.857101782,-614205.68529748,-229324.35897577333,54787706.216840684
2443389.5,1977-09-03,5,5.68e+26,-1074109769.2350228,773540354.7295278,365590997.7169015,-564830.8313696593,-614501.5922432387,-229464.2124600862,54787706.216840684
2443390.5,1977-09-04,5,5.68e+26,-1074674394.4762926,772925705.2912785,365361463.6187586,-564419.6202966296,-614797.2412597229,-229603.967397394,54787706.216840684
2443391.5,1977-09-05,5,5.68e+26,-1075238608.4139035,772310760.333014,365131789.81497073,-564008.224086051,-615092.6322590582,-229743.62374268402,54787706.216840684
2443392.5,1977-09-06,5,5.68e+26,-1075802410.86282,771695520.1127954,364901976.4041523,-563596.6429413189,-615387.7651535319,-229883.18145100883,54787706.216840684
2443393.5,1977-09-07,5,5.68e+26,-1076365801.6382093,771079984.8887712,364672023.48496264,-563184.877065867,-615682.6398555933,-230022.6404774861,54787706.216840684
2443394.5,1977-09-08,5,5.68e+26,-1076928780.5554426,770464154.9191774,364441931.1561062,-562772.9266631668,-615977.2562778527,-230162.00077729882,54787706.216840684
2443395.5,1977-09-09,5,5.68e+26,-1077491347.4300942,769848030.4623377,364211699.51633185,-562360.7919367275,-616271.6143330823,-230301.26230569524,54787706.216840684
2443396.5,1977-09-10,5,5.68e+26,-1078053502.0779426,769231611.7766626,363981328.6644335,-561948.4730900956,-616565.7139342156,-230440.4250179887,54787706.216840684
2443397.5,1977-09-11,5,5.68e+26,-1078615244.314969,768614899.1206497,363750818.69924945,-561535.9703268553,-616859.5549943479,-230579.4888695578,54787706.216840684
2443398.5,1977-09-12,5,5.68e+26,-1079176573.9573586,767997892.7528832,363520169.7196628,-561123.2838506277,-617153.1374267353,-230718.45381584638,54787706.216840684
2443399.5,1977-09-13,5,5.68e+26,-1079737490.8215005,767380592.9320343,363289381.824601,-560710.4138650714,-617446.4611447959,-230857.3198123634,54787706.216840684
2443400.5,1977-09-14,5,5.68e+26,-1080297994.7239869,766762999.9168606,363058455.11303616,-560297.3605738812,-617739.5260621088,-230996.08681468284,54787706.216840684
