Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,2,5.969999999999999e+24,141937993.19294205,-48569646.77435301,-21069901.160267115,850936.0349110335,2206340.2695297557,956663.117538699,924415.912712015
2443389.5,1977-09-03,2,5.969999999999999e+24,142768486.18129098,-46356499.52037972,-20110286.570718903,810005.202479197,2219849.5397554263,962520.6627866512,924415.912712015
2443390.5,1977-09-04,2,5.969999999999999e+24,143557915.9755361,-44130157.86704832,-19144950.968207028,768811.5063749981,2232728.29853987,968104.8097399465,924415.912712015
2443391.5,1977-09-05,2,5.969999999999999e+24,144306025.30802283,-41891254.60892616,-18174168.740934283,727366.1555699499,2244972.0056933467,973413.5898823721,924415.912712015
2443392.5,1977-09-06,2,5.969999999999999e+24,145012568.1705405,-39640427.00223374,-17198216.211570747,685680.4596451051,2256576.278446468,978445.1029435135,924415.912712015
2443393.5,1977-09-07,2,5.969999999999999e+24,145677309.91391695,-37378316.60638903,-16217371.568566132,643765.8267479866,2267536.8935161834,983197.5177813148,924415.912712015
2443394.5,1977-09-08,2,5.969999999999999e+24,146300027.34553647,-35105569.12350242,-15231914.796584364,601633.7614936782,2277849.789133525,987669.0732525047,924415.912712015
2443395.5,1977-09-09,2,5.969999999999999e+24,146880508.8247346,-32822834.235865794,-14242127.606075216,559295.8627992754,2287511.06703483,991858.0790716619,924415.912712015
2443396.5,1977-09-10,2,5.969999999999999e+24,147418554.35598233,-30530765.44146584,-13248293.361990545,516763.8216375057,2296516.9944164534,995762.9166606398,924415.912712015
2443397.5,1977-09-11,2,5.969999999999999e+24,147913975.67977774,-28230019.887560282,-12250697.011655612,474049.4186885673,2304864.005858862,999382.0399908719,924415.912712015
2443398.5,1977-09-12,2,5.969999999999999e+24,148366596.36112928,-25921258.202340458,-11249625.011799846,431164.5218709485,2312548.705230182,1002713.9764221566,924415.912712015
2443399.5,1977-09-13,2,5.969999999999999e+24,148776251.8755058,-23605144.32469763,-10245365.254749745,388121.08374243294,2319567.8675774564,1005757.3275403137,924415.912712015
2443400.5,1977-09-14,2,5.969999999999999e+24,149142789.69211933,-21282345.332097158,-9238206.993782748,344931.1387646132,2325918.441022892,1008510.7699983747,924415.912712015
2443401.5,1977-09-15,2,5.969999999999999e+24,149466069.35440832,-18953531.266546275,-8228440.767636441,301606.8004433773,2331597.548683171,1010973.0563651667,924415.912712015
2443402.5,1977-09-16,2,5.969999999999999e+24,149745962.55761307,-16619374.958625596,-7216358.324164913,258160.2583799842,2336602.4906236273,1013143.015982309,924415.912712015
2443403.5,1977-09-17,2,5.969999999999999e+24,149982353.22337776,-14280551.849548377,-6202252.543134915,214603.77528251763,2340930.745847666,1015019.5558267795,924415.912712015
2443404.5,1977-09-18,2,5.969999999999999e+24,150175137.57136634,-11937739.811217772,-5186417.358159326,170949.6839897142,2344579.974307843,1016601.661372336,924415.912712015
2443405.5,1977-09-19,2,5.969999999999999e+24,150324224.1879255,-9591618.964272855,-4169147.677773704,127210.38454640844,2347548.0189118693,1017888.3974401888,924415.912712015
2443406.5,1977-09-20,2,5.969999999999999e+24,150429534.09185582,-7242871.494145641,-3150739.305671951,83398.34134415752,2349832.907488567,1018878.9090283813,924415.912712015
2443407.5,1977-09-21,2,5.969999999999999e+24,150491000.79735,-4892181.465186572,-2131488.860126991,39526.08030801936,2351432.8546802015,1019572.4221113091,924415.912712015
2443408.5,1977-09-22,2,5.969999999999999e+24,150508570.37412098,-2540234.632942723,-1111693.6926283753,-4393.813919000313,2352346.2637442765,1019968.2444066396,924415.912712015
2443409.5,1977-09-23,2,5.969999999999999e+24,150482201.50469077,-187718.2546815239,-91651.80576897226,-48348.70084708132,2352571.7282559876,1020065.7661090795,924415.912712015
2443410.5,1977-09-24,2,5.969999999999999e+24,150411865.53875887,2164679.101735307,928338.2295853216,-92325.88712043288,2352108.0337144714,1019864.4605934928,924415.912712015
2443411.5,1977-09-25,2,5.969999999999999e+24,150297546.5445147,4516267.750549151,1947977.357817838,-136312.6296511676,2350954.159076241,1019363.885094838,924415.912712015
2443412.5,1977-09-26,2,5.969999999999999e+24,150139241.3567319,6866357.082305089,2966966.1227533403,-180296.1389233862,2349109.278236329,1018563.6813703254,924415.912712015
2443413.5,1977-09-27,2,5.969999999999999e+24,149936959.62147495,9214255.759518668,3985004.752506287,-224263.58246241126,2346572.761481472,1017463.5763497248,924415.912712015
2443414.5,1977-09-28,2,5.969999999999999e+24,149690723.8372635,11559271.913789378,5001793.244975021,-268202.0884439239,2343344.176933293,1016063.3827775305,924415.912712015
2443415.5,1977-09-29,2,5.969999999999999e+24,149400569.39257312,13900713.34435753,6017031.453974925,-312098.7494050278,2339423.2919928003,1014362.9998487314,924415.912712015
2443416.5,1977-09-30,2,5.969999999999999e+24,149066544.5995915,16237887.718106568,7030419.176003766,-355940.62601643894,2334810.074785927,1012362.413837054,924415.912712015
2443417.5,1977-10-01,2,5.969999999999999e+24,148688710.7241859,18570102.771008268,8041656.237630357,-399714.75088217645,2329504.6956018945,1010061.6987127573,924415.912712015
2443418.5,1977-10-02,2,5.969999999999999e+24,148267142.0120675,20896666.510997467,9050442.583494216,-443408.1323448121,2323507.5283115804,1007461.0167462043,924415.912712015
2443419.5,1977-10-03,2,5.969999999999999e+24,147801925.71115148,23216887.422249183,10056478.364900075,-487007.75828641845,2316819.1517514926,1004560.6190933199,924415.912712015
2443420.5,1977-10-04,2,5.969999999999999e+24,147293162.09011933,25530074.670816682,11059464.028987272,-530500.599925147,2309440.3510596175,1001360.8463594095,924415.912712015
2443421.5,1977-10-05,2,5.969999999999999e+24,146740964.45318395,27835538.311576415,12059100.408450935,-573873.6156135986,2301372.1189515176,997862.129138438,924415.912712015
2443422.5,1977-10-06,2,5.969999999999999e+24,146145459.15105206,30132589.49641519,13055088.811789138,-617113.7546479413,2292615.6569273323,994064.9885253705,924415.912712015
2443423.5,1977-10-07,2,5.969999999999999e+24,145506785.58806774,32420540.683586426,14047131.114048006,-660207.9610976367,2283172.3764014747,989970.0365992746,924415.912712015
2443424.5,1977-10-08,2,5.969999999999999e+24,144825096.22551158,34698705.8481534,15034929.84803408,-703143.1776676124,2273043.8997450885,985577.9768741534,924415.912712015
2443425.5,1977-10-09,2,5.969999999999999e+24,144100556.58101448,36966400.69342714,16018188.295959888,-745906.3496069645,2262232.06123269,980889.6047143751,924415.912712015
2443426.5,1977-10-10,2,5.969999999999999e+24,143333345.22403342,39222942.86330069,16996610.58148608,-788484.4286892806,2250738.907882983,975905.8077101646,924415.912712015
2443427.5,1977-10-11,2,5.969999999999999e+24,142523653.76729923,41467652.15536634,17969901.762116976,-830864.377274062,2238566.700189593,970627.5660112095,924415.912712015
2443428.5,1977-10-12,2,5.969999999999999e+24,141671686.8541497,43699850.73470825,18937767.921907604,-873033.1725024371,2225717.9127350603,965055.9526126266,924415.912712015
2443429.5,1977-10-13,2,5.969999999999999e+24,140777662.1415873,45918863.348254964,19899916.264433123,-914977.8106385703,2212195.2347041443,959192.1335965198,924415.912712015
2443430.5,1977-10-14,2,5.969999999999999e+24,139841810.27892506,48124017.53960505,20856055.205980327,-956685.3115583274,2198001.570319762,953037.3683349665,924415.912712015
2443431.5,1977-10-15,2,5.969999999999999e+24,138864374.88186947,50314643.86426276,21805894.468926102,-998142.7233800262,2183140.0392338755,946593.0096632362,924415.912712015
2443432.5,1977-10-16,2,5.969999999999999e+24,137845612.50192508,52490076.10525785,22749145.175279997,-1039337.1271775864,2167613.976909889,939860.5040367966,924415.912712015
2443433.5,1977-10-17,2,5.969999999999999e+24,136785792.59107643,54649651.489152044,23685519.94037991,-1080255.64170046,2151426.9350143927,932841.3916815635,924415.912712015
2443434.5,1977-10-18,2,5.969999999999999e+24,135685197.46177447,56792710.90243952,24614732.966735613,-1120885.4280364332,2134582.6818097825,925537.3067388338,924415.912712015
2443435.5,1977-10-19,2,5.969999999999999e+24,134544122.24230468,58918599.10832806,25536500.138012014,-1161213.694182219,2117085.2025165376,917949.9773981094,924415.912712015
2443436.5,1977-10-20,2,5.969999999999999e+24,133362874.82763195,61026664.963849425,26450539.11313407,-1201227.6995225218,2098938.69960165,910081.2260051449,924415.912712015
2443437.5,1977-10-21,2,5.969999999999999e+24,132141775.82579929,63116261.63720301,27356569.420481186,-1240914.7592511934,2080147.5929504666,901932.9691304313,924415.912712015
2443438.5,1977-10-22,2,5.969999999999999e+24,130881158.49991198,65186746.82519969,28254312.552124705,-1280262.2487887945,2060716.5198915568,893507.2175851469,924415.912712015
2443439.5,1977-10-23,2,5.969999999999999e+24,129581368.70568295,67237482.97065113,29143492.0580515,-1319257.6082503323,2040650.3350621625,884806.0763764454,924415.912712015
2443440.5,1977-10-24,2,5.969999999999999e+24,128242764.82447329,69267837.47954507,30023833.64031128,-1357888.3469864898,2019954.1101153947,875831.7445996464,924415.912712015
