Time [JD],Time [UTC],Tag,Mass [kg],posx [code],posy [code],posz [code],velx [code],vely [code],velz [code],accx [code],accy [code],accz [code]
2443403.5,1977-09-17,10,721.9,154872853.45550257,-617390.5576785658,-277945.69887394225,454147.7928943541,2990875.6925215204,1296833.6951132766,-41514.601359757646,6.350552500112969,2.560230372626945
2443404.5,1977-09-18,10,721.9,155306286.013465,2373354.959602652,1018831.4586566777,412760.27763119654,2990482.613021973,1296663.0661575652,-41256.231731445114,-790.0511851361697,-342.7648979547616
2443405.5,1977-09-19,10,721.9,155698465.2511217,5363311.707938749,2315266.4136257037,371646.11288960784,2989300.703463984,1296150.395220702,-40968.1041073847,-1571.1414529682029,-681.4507196609131
2443406.5,1977-09-20,10,721.9,156049679.18327624,8351698.701254275,3611020.5253285426,330834.41073280544,2987345.836455598,1295302.564917923,-40651.518515824944,-2335.8128525383772,-1013.0170631711803
2443407.5,1977-09-21,10,721.9,156360244.27766183,11337751.36415997,4905762.268988262,290352.9561960176,2984634.945093918,1294126.9176957875,-40307.82749644293,-3083.052039249783,-1337.0245396774665
2443408.5,1977-09-22,10,721.9,156630504.1032191,14320722.545151012,6199167.675081117,250228.15945290856,2981185.928150621,1292631.2147196224,-39938.426765561846,-3811.941114571716,-1653.0751467778273
2443409.5,1977-09-23,10,721.9,156860827.9351863,17299883.434428953,7490920.727305929,210485.01725044716,2977017.5542665003,1290823.5943313045,-39544.74602812816,-4521.6582221445005,-1960.8125269195698
2443410.5,1977-09-24,10,721.9,157051609.32618323,20274524.385747824,8780713.71893738,171147.083422233,2972149.3659309945,1288712.5304138402,-39128.2400214873,-5211.47738932435,-2259.92189865807
2443411.5,1977-09-25,10,721.9,157203264.6522378,23243955.642438777,10068247.567630203,132236.44820964895,2966601.5839774017,1286306.790979585,-38690.37986709944,-5880.767662857746,-2550.1296818435117
2443412.5,1977-09-26,10,721.9,157316231.64239788,26207507.96847302,11353232.089047085,93773.72604877251,2960395.0132728186,1283615.3972765373,-38232.64479686453,-6528.991593155757,-2831.2028403545546
2443413.5,1977-09-27,10,721.9,157390967.90019685,29164533.18607379,12635386.229965396,55778.05141919421,2953550.9502250357,1280647.5836825129,-37756.5143109279,-7155.70312605329,-3102.9479679123115
2443414.5,1977-09-28,10,721.9,157427949.42481104,32114404.621980324,13914438.261774624,18267.082298972775,2946091.0926680947,1277412.7586307605,-37263.46081394128,-7760.544964022124,-3365.210143845421
2443415.5,1977-09-29,10,721.9,157427669.139269,35056517.46499716,15190125.935506418,-18742.989272100465,2938037.4526252444,1273920.4667832728,-36754.94276695993,-8343.245460623237,-3617.871586464737
2443416.5,1977-09-30,10,721.9,157390635.43255842,37990289.037928835,16462196.599741438,-55237.420051149704,2929412.2723838235,1270180.3526402104,-36232.39838265068,-8903.615112621223,-3860.8501319825427
2443417.5,1977-10-01,10,721.9,157317370.7219336,40915158.987402335,17730407.282911733,-91202.89242609445,2920237.944252325,1266202.1257459798,-35697.23988242026,-9441.542713747118,-4094.0975667218204
2443418.5,1977-10-02,10,721.9,157208410.0411653,43830589.39541812,18994524.741664067,-126627.48579239042,2910536.934306531,1261995.527625034,-35150.84832558052,-9956.991232704702,-4317.597839757756
2443419.5,1977-10-03,10,721.9,157064299.6599031,46736064.81674656,20254325.477069326,-161500.64304640613,2900331.7103700596,1257570.3005537754,-34594.569012844724,-10449.99347579728,-4531.3651821717995
2443420.5,1977-10-04,10,721.9,156885595.73874772,49631092.24650209,21509595.720556557,-195813.13276790155,2889644.674415694,1252936.1582493705,-34029.707459372126,-10920.647591637653,-4735.44215783475
2443421.5,1977-10-05,10,721.9,156672863.02406013,52515201.02238568,22760131.391518828,-229557.00765608423,2878498.0995181147,1248102.7585321106,-33457.52592629461,-11369.112471925682,-4929.8976691270445
2443422.5,1977-10-06,10,721.9,156426673.58597803,55387942.666190624,24005738.028583284,-262725.55976985197,2866914.0714365775,1243079.677995373,-32879.24049419331,-11795.603098362359,-5114.824939306446
2443423.5,1977-10-07,10,721.9,156147605.60256732,58248890.669220425,25246230.696561325,-295313.27310391184,2854914.4348581326,1237876.3886964459,-32296.01865735125,-12200.385881538758,-5290.339491399004
2443424.5,1977-10-08,10,721.9,155836242.19251657,61097640.2262765,26481433.871098362,-327315.7740093095,2842520.7442883286,1232502.2368625524,-31708.977413774093,-12583.774033205393,-5456.577141566835
2443425.5,1977-10-09,10,721.9,155493170.2982869,63933807.92284005,27711181.303028442,-358729.77994030435,2829754.2195372134,1226966.423589443,-31119.181822912262,-12946.123008793204,-5613.692022940224
2443426.5,1977-10-10,10,721.9,155118979.62116185,66757031.38000268,28935315.86440863,-389553.0469802442,2816635.7057138495,1221277.9874949232,-30527.64400070032,-13287.826052515484,-5761.8546539320805
2443427.5,1977-10-11,10,721.9,154714261.60920474,69566968.86159824,30153689.378163725,-419784.3165678366,2803185.637612468,1215445.7892766357,-29935.322519892477,-13609.309872906697,-5901.250063113071
2443428.5,1977-10-12,10,721.9,154279608.4987266,72363298.84785816,31366162.43321556,-449423.26181264163,2789424.008347729,1209478.4981122934,-29343.12218266388,-13911.030472317627,-6032.0759808454595
2443429.5,1977-10-13,10,721.9,153815612.40949413,75145719.57975905,32572604.186904445,-478470.43375531497,2775370.3420751127,1203384.5798312572,-28751.894132000558,-14193.469149741512,-6154.541106076421
