Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,6,8.68e+25,-2078042920.3839273,-1703708673.3703353,-716739761.8307827,386650.1777495174,-425914.9871916733,-192018.77431807952,51786196.41376502
2443389.5,1977-09-03,6,8.68e+25,-2077656222.3059323,-1704134549.0876498,-716931764.0844554,386745.97489512054,-425836.444472812,-191985.73168191154,51786196.41376502
2443390.5,1977-09-04,6,8.68e+25,-2077269428.4408293,-1704560346.2533534,-717123733.2914555,386841.7519645702,-425757.88397078175,-191952.6809728206,51786196.41376502
2443391.5,1977-09-05,6,8.68e+25,-2076882538.8086965,-1704986064.8496652,-717315669.4437108,386937.50895390566,-425679.3056903798,-191919.62219285138,51786196.41376502
2443392.5,1977-09-06,6,8.68e+25,-2076495553.429616,-1705411704.8588095,-717507572.5331515,387033.24585916765,-425600.70963640406,-191886.55534404877,51786196.41376502
2443393.5,1977-09-07,6,8.68e+25,-2076108472.3236742,-1705837266.263015,-717699442.5517099,387128.9626763987,-425522.09581365273,-191853.480428458,51786196.41376502
2443394.5,1977-09-08,6,8.68e+25,-2075721295.5109606,-1706262749.0445156,-717891279.4913203,387224.6594016431,-425443.464226925,-191820.39744812457,51786196.41376502
2443395.5,1977-09-09,6,8.68e+25,-2075334023.0115695,-1706688153.1855493,-718083083.3439187,387320.3360309464,-425364.8148810199,-191787.3064050942,51786196.41376502
2443396.5,1977-09-10,6,8.68e+25,-2074946654.8455987,-1707113478.6683595,-718274854.1014435,387415.992560356,-425286.14778073755,-191754.20730141285,51786196.41376502
2443397.5,1977-09-11,6,8.68e+25,-2074559191.03315,-1707538725.4751942,-718466591.7558353,387511.62898592086,-425207.4629308782,-191721.10013912668,51786196.41376502
2443398.5,1977-09-12,6,8.68e+25,-2074171631.5943294,-1707963893.5883062,-718658296.2990363,387607.24530369166,-425128.76033624314,-191687.98492028212,51786196.41376502
2443399.5,1977-09-13,6,8.68e+25,-2073783976.5492465,-1708388982.9899533,-718849967.722991,387702.84150972066,-425050.0400016337,-191654.86164692594,51786196.41376502
2443400.5,1977-09-14,6,8.68e+25,-2073396225.9180152,-1708813993.6623979,-719041606.0196459,387798.4176000616,-424971.301931852,-191621.73032110513,51786196.41376502
2443401.5,1977-09-15,6,8.68e+25,-2073008379.720753,-1709238925.5879068,-719233211.1809497,387893.9735707702,-424892.5461317005,-191588.59094486677,51786196.41376502
2443402.5,1977-09-16,6,8.68e+25,-2072620437.9775815,-1709663778.7487526,-719424783.1988529,387989.5094179033,-424813.7726059824,-191555.44352025836,51786196.41376502
2443403.5,1977-09-17,6,8.68e+25,-2072232400.7086263,-1710088553.127212,-719616322.0653081,388085.0251375198,-424734.98135950114,-191522.2880493276,51786196.41376502
2443404.5,1977-09-18,6,8.68e+25,-2071844267.934017,-1710513248.7055664,-719807827.7722701,388180.5207256801,-424656.17239706113,-191489.12453412235,51786196.41376502
2443405.5,1977-09-19,6,8.68e+25,-2071456039.6738868,-1710937865.4661024,-719999300.3116956,388275.99617844616,-424577.3457234669,-191455.95297669093,51786196.41376502
2443406.5,1977-09-20,6,8.68e+25,-2071067715.948373,-1711362403.3911111,-720190739.6755434,388371.45149188145,-424498.50134352373,-191422.7733790817,51786196.41376502
2443407.5,1977-09-21,6,8.68e+25,-2070679296.7776175,-1711786862.462889,-720382145.8557744,388466.8866620515,-424419.63926203735,-191389.58574334337,51786196.41376502
2443408.5,1977-09-22,6,8.68e+25,-2070290782.1817648,-1712211242.6637363,-720573518.8443515,388562.30168502295,-424340.759483814,-191356.3900715248,51786196.41376502
