Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,3,6.42e+23,138307790.653429,157439898.8392517,68478371.29119633,-1553057.2528656912,1335905.5010168646,654790.484560764,577170.8954715636
2443389.5,1977-09-03,3,6.42e+23,136748410.80523437,158768515.07482886,69129989.73154452,-1565673.1189017897,1321312.8606463643,648439.1302453004,577170.8954715636
2443390.5,1977-09-04,3,6.42e+23,135176503.1288272,160082496.6636457,69775235.16589917,-1578112.8462473538,1306636.5293231162,642044.6184736398,577170.8954715636
2443391.5,1977-09-05,3,6.42e+23,133592243.94747211,161381760.87893188,70414064.87403189,-1590376.0702982775,1291878.4341035953,635607.8232243862,577170.8954715636
2443392.5,1977-09-06,3,6.42e+23,131995809.93546686,162666226.91699862,71046437.00823742,-1602462.4535310266,1277040.4940447772,629129.6155409036,577170.8954715636
2443393.5,1977-09-07,3,6.42e+23,130387378.09124577,163935815.88909182,71672310.59032603,-1614371.6851347156,1262124.6199111834,622610.8633870798,577170.8954715636
2443394.5,1977-09-08,3,6.42e+23,128767125.71085179,165190450.81295723,72291645.50847356,-1626103.4806410293,1247132.713891309,616052.4315073203,577170.8954715636
2443395.5,1977-09-09,3,6.42e+23,127135230.36177982,166430056.60412636,72904402.51393381,-1637657.5815522217,1232066.6693233633,609455.1812907502,577170.8954715636
2443396.5,1977-09-10,3,6.42e+23,125491869.85719292,167654560.06693304,73510543.21761703,-1649033.7549674353,1216928.3704302344,602819.9706395875,577170.8954715636
2443397.5,1977-09-11,3,6.42e+23,123837222.23051271,168863889.88526922,74110030.08653893,-1660231.7932075735,1201719.6920635938,596147.6538416507,577170.8954715636
2443398.5,1977-09-12,3,6.42e+23,122171465.71038589,170057976.61308977,74702826.44014427,-1671251.513438949,1186442.4994570392,589439.081446961,577170.8954715636
2443399.5,1977-09-13,3,6.42e+23,120494778.69602728,171236752.66467458,75288896.44650903,-1682092.7572959478,1171098.6479881587,582695.1001483923,577170.8954715636
2443400.5,1977-09-14,3,6.42e+23,118807339.7329408,172400152.3046573,75868205.11842528,-1692755.3905029285,1155689.9829494045,575916.5526663174,577170.8954715636
2443401.5,1977-09-15,3,6.42e+23,117109327.48901877,173548111.63782927,76440718.30937257,-1703239.3024955925,1140218.3393276294,569104.2776371995,577170.8954715636
2443402.5,1977-09-16,3,6.42e+23,115400920.73102005,174680568.59872714,77006402.70938006,-1713544.4060420531,1124685.5415921467,562259.1095060623,577170.8954715636
2443403.5,1977-09-17,3,6.42e+23,113682298.30142705,175797462.94101304,77565225.84078282,-1723670.6368638512,1109093.4034911457,555381.8784227786,577170.8954715636
2443404.5,1977-09-18,3,6.42e+23,111953639.0956818,176898736.22665486,78117156.0538764,-1733617.9532571505,1093443.7278562894,548473.4101421033,577170.8954715636
2443405.5,1977-09-19,3,6.42e+23,110215122.03980052,177984331.8149156,78662162.52247328,-1743386.3357143695,1077738.306415297,541534.5259273755,577170.8954715636
2443406.5,1977-09-20,3,6.42e+23,108466926.06836633,179054194.85115877,79200215.2393648,-1752975.7865465088,1061978.9196123094,534566.0424578055,577170.8954715636
2443407.5,1977-09-21,3,6.42e+23,106709230.10289899,180108272.25547817,79731285.01169212,-1762386.3295064466,1046167.3364358005,527568.7717392591,577170.8954715636
2443408.5,1977-09-22,3,6.42e+23,104942213.030601,181146512.7111594,80255343.45622967,-1771618.0094134756,1030305.3142538004,520543.5210184428,577170.8954715636
2443409.5,1977-09-23,3,6.42e+23,103166053.68347716,182168866.65298256,80772362.99458614,-1780670.8917820498,1014394.5986631858,513491.0927043267,577170.8954715636
2443410.5,1977-09-24,3,6.42e+23,101380930.81782675,183175286.25537407,81282316.84832591,-1789545.0624460464,998436.9233352705,506412.28428652894,577170.8954715636
2443411.5,1977-09-25,3,6.42e+23,99587023.09410979,184165725.42041352,81785179.03401402,-1798240.6271885606,982434.0098821276,499307.8882644595,577170.8954715636
2443412.5,1977-09-26,3,6.42e+23,97784509.05718258,185140139.765706,82280924.35818946,-1806757.7113725876,966387.5677214036,492178.6920753169,577170.8954715636
2443413.5,1977-09-27,3,6.42e+23,95973567.11690195,186098486.61212522,82769528.41226949,-1815096.4595727422,950299.2939528369,485025.478027596,577170.8954715636
2443414.5,1977-09-28,3,6.42e+23,94154375.52909724,187040724.97143695,83250967.56738901,-1823257.0352084367,934170.8732419595,477849.0232378807,577170.8954715636
2443415.5,1977-09-29,3,6.42e+23,92327112.37690817,187966815.53380957,83725218.96917847,-1831239.6201787393,918003.9777108323,470650.09957087244,577170.8954715636
2443416.5,1977-09-30,3,6.42e+23,90491955.55248702,188876720.65521887,84192260.53248326,-1839044.4144991154,901800.2668356778,463429.4735826031,577170.8954715636
2443417.5,1977-10-01,3,6.42e+23,88649082.73906298,189770404.34475374,84652070.93602797,-1846671.6359402323,885561.3873512764,456187.9064667849,577170.8954715636
2443418.5,1977-10-02,3,6.42e+23,86798671.39336666,190647832.25182992,85104629.6170286,-1854121.519669001,869288.9731619842,448926.15400424605,577170.8954715636
2443419.5,1977-10-03,3,6.42e+23,84940898.72841229,191508971.65331757,85549916.76575553,-1861394.3178920127,852984.6452592567,441644.9665154017,577170.8954715636
2443420.5,1977-10-04,3,6.42e+23,83075941.69663529,192353791.4405899,85987913.32005075,-1868490.299501501,836650.0116455326,434345.0888157108,577170.8954715636
2443421.5,1977-10-05,3,6.42e+23,81203976.97338258,193182262.10649866,86418600.9598017,-1875409.7497239686,820286.6672643726,427027.2601740671,577170.8954715636
2443422.5,1977-10-06,3,6.42e+23,79325180.94075274,193994355.73228294,86841962.10137524,-1882152.9697715908,803896.193936711,419692.214274075,577170.8954715636
2443423.5,1977-10-07,3,6.42e+23,77439729.6717836,194790045.97441712,87257979.89201404,-1888720.276496494,787480.1603031105,412340.679178156,577170.8954715636
2443424.5,1977-10-08,3,6.42e+23,75547798.91498375,195569308.05140415,87666638.20419878,-1895112.0020480186,771040.1217718963,404973.37729443744,577170.8954715636
2443425.5,1977-10-09,3,6.42e+23,73649564.07920551,196332118.73051968,88067921.62997827,-1901328.4935330388,754577.6204730432,397591.02534636826,577170.8954715636
2443426.5,1977-10-10,3,6.42e+23,71745200.21885596,197078456.31451312,88461815.47527084,-1907370.1126794252,738094.1852177071,390194.3343450111,577170.8954715636
2443427.5,1977-10-11,3,6.42e+23,69834882.01944277,197808300.62827078,88848305.75413907,-1913237.23550272,721591.3314632702,382784.0095639562,577170.8954715636
2443428.5,1977-10-12,3,6.42e+23,67918783.78345194,198521633.00544697,89227379.18304095,-1918930.2519760875,705070.561283788,375360.7505168045,577170.8954715636
2443429.5,1977-10-13,3,6.42e+23,65997079.416553736,199218436.275068,89599023.1750596,-1924449.5657036046,688533.3633457124,367925.2509371644,577170.8954715636
2443430.5,1977-10-14,3,6.42e+23,64069942.414133765,199898694.7481148,89963225.83411439,-1929795.5935969416,671981.2128887726,360478.19876110763,577170.8954715636
2443431.5,1977-10-15,3,6.42e+23,62137545.848145574,200562394.20408836,90319975.94915554,-1934968.7655554917,655415.5717118889,353020.27611202834,577170.8954715636
2443432.5,1977-10-16,3,6.42e+23,60200062.35428144,201209521.8775644,90669262.98834492,-1939969.524149995,638837.8881639955,345552.15928784997,577170.8954715636
2443433.5,1977-10-17,3,6.42e+23,58257664.11945772,201840066.44474038,91011077.09322512,-1944798.3243097106,622249.5971396469,338074.51875052013,577170.8954715636
2443434.5,1977-10-18,3,6.42e+23,56310522.86961125,202454018.00998113,91345409.07287915,-1949455.6330131844,605652.1200792752,330588.01911773905,577170.8954715636
2443435.5,1977-10-19,3,6.42e+23,54358809.85780315,203051368.09236664,91672250.39808296,-1953941.928982661,589046.8649739727,323093.31915685907,577170.8954715636
2443436.5,1977-10-20,3,6.42e+23,52402695.85262638,203632109.61224693,91991593.19545291,-1958257.7023821971,572435.2263746567,315591.0717808982,577170.8954715636
2443437.5,1977-10-21,3,6.42e+23,50442351.12691337,204196236.8778083,92303430.24159038,-1962403.4545195233,555818.5854054868,308081.92404660565,577170.8954715636
2443438.5,1977-10-22,3,6.42e+23,48477945.446739696,204743745.571655,92607754.95722525,-1966379.6975517203,539198.3097813872,300566.5171545182,577170.8954715636
2443439.5,1977-10-23,3,6.42e+23,46509648.060720444,205274632.7374103,92904561.4013606,-1970186.9541947674,522575.7538295287,293045.48645094415,577170.8954715636
2443440.5,1977-10-24,3,6.42e+23,44537627.689594746,205788896.7663412,93193844.26542023,-1973825.757437035,505952.2585146202,285519.4614318127,577170.8954715636
2443441.5,1977-10-25,3,6.42e+23,42562052.51609585,206286537.3840109,93475598.86740127,-1977296.6502548165,489329.15147006675,277989.0657491296,577170.8954715636
2443442.5,1977-10-26,3,6.42e+23,40583090.17510237,206767555.63696304,93749821.14603363,-1980600.1853353009,472707.74702851765,270454.9172176167,577170.8954715636
2443443.5,1977-10-27,3,6.42e+23,38600907.744065545,207231953.87943918,94016507.6549473,-1983736.9248003373,456089.3462598853,262917.627824582,577170.8954715636
