Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,1,4.87e+24,30884984.5689606,94408525.03473306,40532523.797581665,-2910947.7188042924,701433.2908293542,499835.2930668579,616289.7319911566
2443389.5,1977-09-03,1,4.87e+24,27962350.39707286,95072310.03058709,41016164.22435666,-2933937.1437127427,626043.1678126509,467379.21128760517,616289.7319911566
2443390.5,1977-09-04,1,4.87e+24,25017880.585343532,95660434.29020229,41467153.8020626,-2954615.7190187774,550121.8226277435,434537.88737091626,616289.7319911566
2443391.5,1977-09-05,1,4.87e+24,22053895.511499804,96172396.69325297,41885120.22557125,-2972964.6995207123,473729.5463109286,401337.2543183461,616289.7319911566
2443392.5,1977-09-06,1,4.87e+24,19072733.361575373,96607756.66414659,42269717.29618387,-2988967.217504387,396927.1289078727,367803.5884500201,616289.7319911566
2443393.5,1977-09-07,1,4.87e+24,16076748.241602577,96966134.64574532,42620625.25426005,-3002608.3041113494,319775.80876442103,333963.4879477923,616289.7319911566
2443394.5,1977-09-08,1,4.87e+24,13068308.268769026,97247212.52198656,42937551.09016057,-3013874.9090270386,242337.22104401895,299843.85094406165,616289.7319911566
2443395.5,1977-09-09,1,4.87e+24,10049793.643743627,97450733.98865817,43220228.8330621,-3022755.9184558094,164673.34552512458,265471.8531786489,616289.7319911566
2443396.5,1977-09-10,1,4.87e+24,7023594.705897899,97576504.87162837,43468419.817218855,-3029242.171342507,86846.45372482212,230874.92524109012,616289.7319911566
2443397.5,1977-09-11,1,4.87e+24,3992109.9732028246,97624393.39188913,43681912.925270855,-3033326.4737958866,8919.055410504507,196080.72942427717,616289.7319911566
2443398.5,1977-09-12,1,4.87e+24,957744.1686141631,97594330.37682676,43860524.80821985,-3035003.611682231,-69046.155448102,161117.136210456,616289.7319911566
2443399.5,1977-09-13,1,4.87e+24,-2077093.7652063533,97486309.41718917,44004100.08171763,-3034270.3613543347,-146986.35522766388,126012.20041394209,616289.7319911566
2443400.5,1977-09-14,1,4.87e+24,-5109992.660953035,97300386.96927889,44112511.498335816,-3031125.4984839647,-224838.64564042364,90794.13700569671,616289.7319911566
2443401.5,1977-09-15,1,4.87e+24,-8138541.129610278,97036682.40196262,44185660.09551194,-3025569.804968797,-302540.1091021568,55491.29664568695,616289.7319911566
2443402.5,1977-09-16,1,4.87e+24,-11160329.5693198,96695377.98814948,44223475.31889288,-3017606.073887786,-380027.8644158283,20132.14094973528,616289.7319911566
2443403.5,1977-09-17,1,4.87e+24,-14172952.178217662,96276718.8404545,44225915.12082376,-3007239.1124817804,-457239.1227064859,-15254.782481654202,616289.7319911566
2443404.5,1977-09-18,1,4.87e+24,-17174008.96925602,95781012.79082921,44192966.03375851,-2994475.743139178,-534111.2435415384,-50640.86524422459,616289.7319911566
2443405.5,1977-09-19,1,4.87e+24,-20161107.7850057,95208630.21400692,44124643.21839656,-2979324.8023692975,-610581.7911691772,-85997.46349159972,616289.7319911566
2443406.5,1977-09-20,1,4.87e+24,-23131866.310419824,94560003.79467933,44020990.48638007,-2961797.137749041,-686588.590806309,-121295.92344779112,616289.7319911566
2443407.5,1977-09-21,1,4.87e+24,-26083914.081525963,93835628.23838936,43882080.29741585,-2941905.6028313977,-762069.7849059802,-156507.60703996473,616289.7319911566
2443408.5,1977-09-22,1,4.87e+24,-29014894.48800386,93036059.92619663,43708013.7307175,-2919665.0500071947,-836963.889332882,-191603.91762007328,616289.7319911566
2443409.5,1977-09-23,1,4.87e+24,-31922466.767602928,92161916.5132496,43498920.43069613,-2895092.3213189105,-911209.849373354,-226556.32574416275,616289.7319911566
2443410.5,1977-09-24,1,4.87e+24,-34804307.99033025,91213876.4714147,43254958.526843354,-2868206.2372056064,-984747.0955473902,-261336.3949873321,616289.7319911566
2443411.5,1977-09-25,1,4.87e+24,-37658115.03039041,90192678.57634743,42976314.52783112,-2839027.5832203203,-1057515.5990057269,-295915.80772121117,616289.7319911566
