Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,9,1.989e+30,350484.1212230248,-599773.5528461091,-270371.74424355844,1205.5525814254777,11.317478057044033,-30.854786953664895,0.0
2443389.5,1977-09-03,9,1.989e+30,351689.8423328099,-599761.3902282802,-270402.2407426242,1205.8888618354802,13.008656762164856,-30.137760041499856,0.0
2443390.5,1977-09-04,9,1.989e+30,352895.89738114795,-599747.5337103803,-270432.01884628943,1206.2204448144469,14.70530290998317,-29.41798053819934,0.0
2443391.5,1977-09-05,9,1.989e+30,354102.2816251416,-599731.9777466934,-270461.0757524065,1206.5472348539174,16.407577175771078,-28.695346596063754,0.0
2443392.5,1977-09-06,9,1.989e+30,355308.9902112914,-599714.7166185665,-270489.40854869765,1206.8691048482985,18.115664585595486,-27.969739744878556,0.0
2443393.5,1977-09-07,9,1.989e+30,356516.01813949033,-599695.7444103202,-270517.0141958629,1207.18588710918,19.82977417856175,-27.241024258498918,0.0
2443394.5,1977-09-08,9,1.989e+30,357723.36021744256,-599675.054986921,-270543.8895106276,1207.4973631319258,21.55013426849174,-26.509048450271973,0.0
2443395.5,1977-09-09,9,1.989e+30,358931.0110044268,-599652.6419771947,-270570.0311506513,1207.8032527238483,23.276988360704582,-25.77364591467666,0.0
2443396.5,1977-09-10,9,1.989e+30,360138.9647438437,-599628.4987619434,-270595.4356009146,1208.1032023495804,25.01058706595299,-25.03463853266846,0.0
2443397.5,1977-09-11,9,1.989e+30,361347.2152841277,-599602.6184727737,-270620.0991645963,1208.3967738174426,26.75117600018275,-24.291841793726288,0.0
2443398.5,1977-09-12,9,1.989e+30,362555.7559889657,-599574.9940041192,-270644.0179599139,1208.6834343277321,28.49898115021125,-23.545071598028432,0.0
2443399.5,1977-09-13,9,1.989e+30,363764.5796386881,-599545.6180417925,-270667.1879248906,1208.962549018774,30.254190330108283,-22.794153397370252,0.0
2443400.5,1977-09-14,9,1.989e+30,364973.6783261641,-599514.4831121408,-270689.6048325643,1209.2333777512422,32.01693058671953,-22.03893393593691,0.0
2443401.5,1977-09-15,9,1.989e+30,366183.0433524308,-599481.5816554857,-270711.2643191456,1209.4950781293624,33.787242450692965,-21.27929532310273,0.0
2443402.5,1977-09-16,9,1.989e+30,367392.6651292717,-599446.9061261946,-270732.16192712914,1209.7467166691972,35.56505277154969,-20.51517071004539,0.0
2443403.5,1977-09-17,9,1.989e+30,368602.5330976781,-599410.449119654,-270752.293164431,1209.9872895892008,37.350148521784355,-19.746560450138528,0.0
2443404.5,1977-09-18,9,1.989e+30,369812.63567224354,-599372.2035237846,-270771.65357933834,1210.2157539167106,39.14215440568576,-18.973547299819273,0.0
2443405.5,1977-09-19,9,1.989e+30,371022.96022169746,-599332.1626897649,-270790.23884948227,1210.431068475945,40.94051736353598,-18.196308961918916,0.0
2443406.5,1977-09-20,9,1.989e+30,372233.49309464305,-599290.3206134856,-270808.0448812452,1210.6322428484336,42.74450112107566,-17.415126087294723,0.0
2443407.5,1977-09-21,9,1.989e+30,373444.219696772,-599246.6721161675,-270825.06791406876,1210.8183905756075,44.55319379761493,-16.63038373300902,0.0
2443408.5,1977-09-22,9,1.989e+30,374655.12462104554,-599201.2130097045,-270841.3046220936,1210.9887807055409,46.36553125392292,-15.842564226267793,0.0
2443409.5,1977-09-23,9,1.989e+30,375866.19182633335,-599153.9402312363,-270856.7522044343,1211.1428825680168,48.180333408414285,-15.052232539831623,0.0
2443410.5,1977-09-24,9,1.989e+30,377077.4048547065,-599104.8519379077,-270871.4084581978,1211.280398092551,49.996349903189056,-14.26001507949956,0.0
2443411.5,1977-09-25,9,1.989e+30,378288.747074456,-599053.947548752,-270885.27182594035,1211.4012776718625,51.812315704789164,-13.466571830874077,0.0
2443412.5,1977-09-26,9,1.989e+30,379500.20192712295,-599001.2277335682,-270898.34141525574,1211.5057160501558,53.62700324136383,-12.672567980913296,0.0
2443413.5,1977-09-27,9,1.989e+30,380711.75316411396,-598946.6943499463,-270910.61698956566,1211.594133484405,55.4392720054784,-11.878645506053353,0.0
2443414.5,1977-09-28,9,1.989e+30,381923.3850557107,-598890.3503356306,-270922.098932221,1211.6671406612766,57.248107684939505,-11.085398652405564,0.0
2443415.5,1977-09-29,9,1.989e+30,383135.0825598878,-598832.1995680821,-270932.7881889284,1211.725494476213,59.05264840807773,-10.293355341102076,0.0
2443416.5,1977-09-30,9,1.989e+30,384346.8314448334,-598772.2467045017,-270942.68619494565,1211.7700505350763,60.8521976416675,-9.502965358691641,0.0
2443417.5,1977-10-01,9,1.989e+30,385558.6183643204,-598710.4970152382,-270951.7947938602,1211.801717029332,62.64622480034654,-8.714595253340455,0.0
2443418.5,1977-10-02,9,1.989e+30,386770.4308891363,-598646.9562218715,-270960.11615431285,1211.8214134630937,64.43435571602188,-7.928529152472057,0.0
