Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,0,3.3e+23,51108066.13662915,-24909780.188811913,-18522367.427534357,1294349.222173362,3437140.008459309,1701618.5230283646,112364.78533249555
2443389.5,1977-09-03,0,3.3e+23,52278279.032639824,-21416487.83169379,-16777874.203984328,1043338.126897132,3547384.0913566123,1786551.4903708703,112364.78533249555
2443390.5,1977-09-04,0,3.3e+23,53189260.47628454,-17819414.310270287,-14951046.921249166,775886.8872562373,3644415.8947907602,1866133.5867844739,112364.78533249555
2443391.5,1977-09-05,0,3.3e+23,53824602.314038776,-14132658.063287389,-13047713.088435566,492091.3460744307,3726436.3145439564,1939393.9226307704,112364.78533249555
2443392.5,1977-09-06,0,3.3e+23,54168096.084065765,-10372196.40663702,-11074724.48995164,192263.5531011147,3791487.535297669,2005254.399752847,112364.78533249555
2443393.5,1977-09-07,0,3.3e+23,54203975.95532182,-6556040.3586260555,-9040065.092685971,-123013.58066985282,3837462.2722995062,2062528.9758258983,112364.78533249555
2443394.5,1977-09-08,0,3.3e+23,53917219.77727533,-2704375.3504286837,-6952957.444660695,-452824.85897343885,3862123.2357088663,2109927.686330954,112364.78533249555
2443395.5,1977-09-09,0,3.3e+23,53293914.41772288,1160323.8895427957,-4823961.950989839,-795855.9662888725,3863135.848831087,2146067.18429784,112364.78533249555
2443396.5,1977-09-10,0,3.3e+23,52321689.6201627,5013219.147813903,-2665061.523623485,-1150323.8174005942,3838117.468251166,2169489.801798024,112364.78533249555
2443397.5,1977-09-11,0,3.3e+23,50990221.2474793,8827093.33584435,-489722.02653217036,-1513908.2867289805,3784706.251119458,2178693.248608911,112364.78533249555
2443398.5,1977-09-12,0,3.3e+23,49291799.642186806,12572414.887499217,1687083.1378147858,-1883691.438956946,3700652.197198901,2172172.9333773055,112364.78533249555
2443399.5,1977-09-13,0,3.3e+23,47221951.67025231,16217504.855303474,3848897.724601587,-2256112.4725442864,3583931.540641769,2148478.387034914,112364.78533249555
2443400.5,1977-09-14,0,3.3e+23,44780095.80341299,19728829.732522197,5977871.067196064,-2626948.527875082,3432883.37936989,2106284.2479737117,112364.78533249555
2443401.5,1977-09-15,0,3.3e+23,41970198.71816867,23071440.341128133,8054924.357384035,-2991332.802085615,3246364.108804513,2044474.6285030404,112364.78533249555
2443402.5,1977-09-16,0,3.3e+23,38801390.32027419,26209570.6346718,10060006.654254181,-3343821.386264841,3023910.982134269,1962237.412260231,112364.78533249555
2443403.5,1977-09-17,0,3.3e+23,35288483.526128896,29107399.23459501,11972447.696747925,-3678518.164890682,2765901.391053412,1859162.2913537389,112364.78533249555
2443404.5,1977-09-18,0,3.3e+23,31452337.915017575,31729960.853422392,13771406.976805555,-3989262.4017114835,2473690.0954066967,1735333.5309305203,112364.78533249555
2443405.5,1977-09-19,0,3.3e+23,27320005.272057526,34044175.404568456,15436408.306333803,-4269876.135935159,2149703.8434604243,1591406.18204708,112364.78533249555
2443406.5,1977-09-20,0,3.3e+23,22924602.621262625,36019941.81923361,16947937.22596072,-4514458.84541812,1797472.9798045815,1428653.543435627,112364.78533249555
2443407.5,1977-09-21,0,3.3e+23,18304876.067305543,37631224.91598689,18288066.790027887,-4717706.5584727125,1421583.821446424,1248974.8409734487,112364.78533249555
2443408.5,1977-09-22,0,3.3e+23,13504446.101540834,38857051.35382251,19441067.847703084,-4875224.072093738,1027544.0710503228,1054855.7429328961,112364.78533249555
2443409.5,1977-09-23,0,3.3e+23,8570758.918386322,39682328.68305315,20393955.3460245,-4983794.759732781,621565.37222429,849280.2177024516,112364.78533249555
2443410.5,1977-09-24,0,3.3e+23,3553803.3139495393,40098412.11426602,21136924.210652642,-5041574.576501686,210280.05873304897,635599.3764443563,112364.78533249555
2443411.5,1977-09-25,0,3.3e+23,-1495317.7665121192,40103366.48662725,21663637.509846434,-5048185.717379347,-199579.80880216946,417369.7589487983,112364.78533249555
2443412.5,1977-09-26,0,3.3e+23,-6525854.121784163,39701902.64529283,21971344.70228322,-5004699.425252903,-601506.7346125799,198178.3380179467,112364.78533249555
2443413.5,1977-09-27,0,3.3e+23,-11488804.243185464,38905002.322396055,22060826.145211298,-4913513.528433502,-989511.1348307653,-18526.872579267405,112364.78533249555
2443414.5,1977-09-28,0,3.3e+23,-16338143.988555163,37729277.17730367,21936178.251828983,-4778144.658153708,-1358355.8186496259,-229583.62284518802,112364.78533249555
2443415.5,1977-09-29,0,3.3e+23,-21031816.87882851,36196130.466180265,21604468.49038571,-4602964.668115594,-1703714.401547378,-432227.39229866536,112364.78533249555
2443416.5,1977-09-30,0,3.3e+23,-25532446.61569093,34330800.89160853,21075298.625813566,-4392914.066406506,-2022248.6973972248,-624162.4661757993,112364.78533249555
2443417.5,1977-10-01,0,3.3e+23,-29807764.345496982,32161367.438700564,20360317.520402674,-4153222.628330344,-2311611.1260145544,-803592.2155271678,112364.78533249555
2443418.5,1977-10-02,0,3.3e+23,-33830770.20066851,29717783.750139657,19472722.135778524,-3889160.5222715237,-2570385.9801712628,-969213.5542404783,112364.78533249555
2443419.5,1977-10-03,0,3.3e+23,-37579667.679253764,27030994.470729217,18426778.742258605,-3605834.549753365,-2797987.303740735,-1120183.53923616,112364.78533249555
2443420.5,1977-10-04,0,3.3e+23,-41037619.66907453,24132167.801422104,17237387.6889738,-3308035.564303185,-2994531.489280123,-1256067.1564847133,112364.78533249555
