Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2443388.5,1977-09-02,8,1.46e+22,-4222691302.001357,-1509495468.3640282,801167091.4507564,178843.16648524193,-445427.47919073026,-192874.02437293812,3293139.16877311
2443389.5,1977-09-03,8,1.46e+22,-4222512436.680231,-1509940887.9231043,800974213.2221093,178887.47570660934,-445411.6380914473,-192882.43263170475,3293139.16877311
2443390.5,1977-09-04,8,1.46e+22,-4222333527.050064,-1510386291.6384714,800781326.5860724,178931.7845667433,-445395.7917723652,-192890.8391521821,3293139.16877311
2443391.5,1977-09-05,8,1.46e+22,-4222154573.1112185,-1510831679.504909,800588431.5443845,178976.09306482348,-445379.9402334008,-192899.2439340994,3293139.16877311
2443392.5,1977-09-06,8,1.46e+22,-4221975574.8640556,-1511277051.517198,800395528.0987839,179020.40120002968,-445364.08347447065,-192907.64697718585,3293139.16877311
2443393.5,1977-09-07,8,1.46e+22,-4221796532.3089395,-1511722407.670118,800202616.2510098,179064.70897154137,-445348.2214954917,-192916.04828117086,3293139.16877311
2443394.5,1977-09-08,8,1.46e+22,-4221617445.4462337,-1512167747.9584491,800009696.0028013,179109.01637853848,-445332.35429638106,-192924.44784578384,3293139.16877311
2443395.5,1977-09-09,8,1.46e+22,-4221438314.2763042,-1512613072.3769708,799816767.355898,179153.32342020035,-445316.48187705583,-192932.84567075406,3293139.16877311
2443396.5,1977-09-10,8,1.46e+22,-4221259138.7995157,-1513058380.920463,799623830.3120399,179197.63009570653,-445300.6042374335,-192941.24175581118,3293139.16877311
2443397.5,1977-09-11,8,1.46e+22,-4221079919.016235,-1513503673.5837054,799430884.8729665,179241.93640423662,-445284.72137743165,-192949.63610068464,3293139.16877311
2443398.5,1977-09-12,8,1.46e+22,-4220900654.92683,-1513948950.3614779,799237931.0404186,179286.2423449701,-445268.8332969678,-192958.0287051039,3293139.16877311
2443399.5,1977-09-13,8,1.46e+22,-4220721346.531668,-1514394211.2485592,799044968.8161366,179330.54791708628,-445252.93999596,-192966.41956879868,3293139.16877311
2443400.5,1977-09-14,8,1.46e+22,-4220541993.8311186,-1514839456.2397294,798851998.2018613,179374.85311976462,-445237.0414743261,-192974.80869149865,3293139.16877311
2443401.5,1977-09-15,8,1.46e+22,-4220362596.825552,-1515284685.3297677,798659019.199334,179419.1579521844,-445221.13773198443,-192983.1960729335,3293139.16877311
2443402.5,1977-09-16,8,1.46e+22,-4220183155.515338,-1515729898.5134532,798466031.8102959,179463.46241352498,-445205.22876885306,-192991.581712833,3293139.16877311
2443403.5,1977-09-17,8,1.46e+22,-4220003669.900849,-1516175095.7855651,798273036.0364889,179507.7665029656,-445189.3145848507,-192999.96561092685,3293139.16877311
2443404.5,1977-09-18,8,1.46e+22,-4219824139.982456,-1516620277.1408825,798080031.8796548,179552.07021968547,-445173.3951798961,-193008.34776694505,3293139.16877311
2443405.5,1977-09-19,8,1.46e+22,-4219644565.760534,-1517065442.5741847,797887019.3415358,179596.37356286374,-445157.4705539078,-193016.72818061739,3293139.16877311
2443406.5,1977-09-20,8,1.46e+22,-4219464947.2354555,-1517510592.08025,797693998.4238744,179640.6765316796,-445141.5407068049,-193025.1068516739,3293139.16877311
2443407.5,1977-09-21,8,1.46e+22,-4219285284.4075956,-1517955725.6538577,797500969.1284134,179684.97912531215,-445125.6056385065,-193033.48377984448,3293139.16877311
2443408.5,1977-09-22,8,1.46e+22,-4219105577.2773304,-1518400843.2897866,797307931.4568957,179729.2813429404,-445109.66534893186,-193041.85896485928,3293139.16877311
2443409.5,1977-09-23,8,1.46e+22,-4218925825.8450356,-1518845944.982815,797114885.4110647,179773.58318374417,-445093.71983800095,-193050.23240644886,3293139.16877311
2443410.5,1977-09-24,8,1.46e+22,-4218746030.1110888,-1519291030.727722,796921830.9926641,179817.8846469016,-445077.7691056326,-193058.60410434267,3293139.16877311
2443411.5,1977-09-25,8,1.46e+22,-4218566190.075868,-1519736100.519286,796728768.2034374,179862.18573159183,-445061.8131517468,-193066.9740582711,3293139.16877311
2443412.5,1977-09-26,8,1.46e+22,-4218386305.739752,-1520181154.352285,796535697.045129,179906.4864369939,-445045.85197626334,-193075.34226796444,3293139.16877311
2443413.5,1977-09-27,8,1.46e+22,-4218206377.103121,-1520626192.2214978,796342617.519483,179950.7867622868,-445029.8855791026,-193083.7087331532,3293139.16877311
2443414.5,1977-09-28,8,1.46e+22,-4218026404.166354,-1521071214.1217027,796149529.6282442,179995.08670664945,-445013.91396018496,-193092.07345356763,3293139.16877311
2443415.5,1977-09-29,8,1.46e+22,-4217846386.9298344,-1521516220.0476775,795956433.3731575,180039.38626926078,-444997.93711943086,-193100.43642893835,3293139.16877311
2443416.5,1977-09-30,8,1.46e+22,-4217666325.3939433,-1521961209.994201,795763328.7559681,180083.68544929943,-444981.95505676116,-193108.79765899584,3293139.16877311
2443417.5,1977-10-01,8,1.46e+22,-4217486219.559064,-1522406183.9560504,795570215.7784214,180127.9842459442,-444965.9677720966,-193117.15714347066,3293139.16877311
2443418.5,1977-10-02,8,1.46e+22,-4217306069.4255795,-1522851141.9280043,795377094.4422631,180172.28265837368,-444949.97526535834,-193125.51488209335,3293139.16877311
2443419.5,1977-10-03,8,1.46e+22,-4217125874.9938755,-1523296083.9048405,795183964.7492392,180216.58068576662,-444933.9775364677,-193133.8708745946,3293139.16877311
2443420.5,1977-10-04,8,1.46e+22,-4216945636.2643366,-1523741009.8813365,794990826.701096,180260.8783273014,-444917.97458534595,-193142.22512070512,3293139.16877311
2443421.5,1977-10-05,8,1.46e+22,-4216765353.2373495,-1524185919.8522704,794797680.2995801,180305.17558215652,-444901.9664119148,-193150.5776201556,3293139.16877311
2443422.5,1977-10-06,8,1.46e+22,-4216585025.9133015,-1524630813.8124197,794604525.5464381,180349.47244951036,-444885.9530160959,-193158.9283726767,3293139.16877311
2443423.5,1977-10-07,8,1.46e+22,-4216404654.29258,-1525075691.7565618,794411362.4434171,180393.76892854122,-444869.9343978114,-193167.27737799933,3293139.16877311
2443424.5,1977-10-08,8,1.46e+22,-4216224238.375574,-1525520553.6794744,794218190.9922645,180438.06501842744,-444853.91055698297,-193175.62463585427,3293139.16877311
2443425.5,1977-10-09,8,1.46e+22,-4216043778.1626735,-1525965399.575935,794025011.194728,180482.3607183472,-444837.8814935334,-193183.97014597242,3293139.16877311
2443426.5,1977-10-10,8,1.46e+22,-4215863273.654268,-1526410229.4407206,793831823.0525552,180526.65602747854,-444821.8472073848,-193192.31390808462,3293139.16877311
2443427.5,1977-10-11,8,1.46e+22,-4215682724.850749,-1526855043.2686086,793638626.5674945,180570.95094499955,-444805.8076984599,-193200.65592192195,3293139.16877311
2443428.5,1977-10-12,8,1.46e+22,-4215502131.7525086,-1527299841.0543764,793445421.7412943,180615.2454700883,-444789.7629666816,-193208.9961872153,3293139.16877311
2443429.5,1977-10-13,8,1.46e+22,-4215321494.3599396,-1527744622.7928011,793252208.575703,180659.53960192265,-444773.7130119726,-193217.33470369573,3293139.16877311
2443430.5,1977-10-14,8,1.46e+22,-4215140812.673436,-1528189388.4786594,793058987.07247,180703.83333968045,-444757.65783425636,-193225.67147109428,3293139.16877311
2443431.5,1977-10-15,8,1.46e+22,-4214960086.693392,-1528634138.1067286,792865757.233344,180748.12668253965,-444741.5974334559,-193234.00648914216,3293139.16877311
2443432.5,1977-10-16,8,1.46e+22,-4214779316.4202027,-1529078871.6717854,792672519.0600748,180792.41962967778,-444725.53180949495,-193242.3397575704,3293139.16877311
2443433.5,1977-10-17,8,1.46e+22,-4214598501.8542647,-1529523589.1686065,792479272.5544121,180836.71218027262,-444709.46096229693,-193250.67127611022,3293139.16877311
2443434.5,1977-10-18,8,1.46e+22,-4214417642.995975,-1529968290.5919688,792286017.718106,180881.00433350174,-444693.3848917859,-193259.00104449285,3293139.16877311
2443435.5,1977-10-19,8,1.46e+22,-4214236739.845731,-1530412975.9366488,792092754.5529066,180925.2960885427,-444677.30359788577,-193267.32906244966,3293139.16877311
2443436.5,1977-10-20,8,1.46e+22,-4214055792.4039307,-1530857645.1974235,791899483.0605646,180969.58744457297,-444661.2170805207,-193275.6553297118,3293139.16877311
2443437.5,1977-10-21,8,1.46e+22,-4213874800.6709747,-1531302298.3690689,791706203.2428309,181013.87840076987,-444645.1253396151,-193283.97984601065,3293139.16877311
2443438.5,1977-10-22,8,1.46e+22,-4213693764.6472626,-1531746935.4463613,791512915.1014564,181058.1689563108,-444629.02837509336,-193292.3026110777,3293139.16877311
2443439.5,1977-10-23,8,1.46e+22,-4213512684.3331957,-1532191556.4240777,791319618.6381925,181102.45911037308,-444612.9261868803,-193300.62362464427,3293139.16877311
2443440.5,1977-10-24,8,1.46e+22,-4213331559.729176,-1532636161.296994,791126313.854791,181146.74886213389,-444596.81877490075,-193308.94288644192,3293139.16877311
2443441.5,1977-10-25,8,1.46e+22,-4213150390.835606,-1533080750.0598865,790933000.7530037,181191.0382107698,-444580.7061390789,-193317.26039620148,3293139.16877311
2443442.5,1977-10-26,8,1.46e+22,-4212969177.6528893,-1533525322.707531,790739679.3345827,181235.32715545883,-444564.58827934007,-193325.576153655,3293139.16877311
2443443.5,1977-10-27,8,1.46e+22,-4212787920.18143,-1533969879.2347038,790546349.6012806,181279.61569537784,-444548.4651956095,-193333.89015853402,3293139.16877311
2443444.5,1977-10-28,8,1.46e+22,-4212606618.4216337,-1534414419.6361809,790353011.5548499,181323.90382970384,-444532.3368878128,-193342.20241057023,3293139.16877311
2443445.5,1977-10-29,8,1.46e+22,-4212425272.373906,-1534858943.906738,790159665.1970438,181368.19155761373,-444516.2033558752,-193350.51290949498,3293139.16877311
2443446.5,1977-10-30,8,1.46e+22,-4212243882.038654,-1535303452.041151,789966310.5296154,181412.47887828416,-444500.06459972274,-193358.82165504014,3293139.16877311
2443447.5,1977-10-31,8,1.46e+22,-4212062447.4162855,-1535747944.034196,789772947.5543182,181456.765790892,-444483.92061928124,-193367.12864693723,3293139.16877311
2443448.5,1977-11-01,8,1.46e+22,-4211880968.5072083,-1536192419.8806481,789579576.2729062,181501.05229461406,-444467.7714144766,-193375.4338849181,3293139.16877311
2443449.5,1977-11-02,8,1.46e+22,-4211699445.311833,-1536636879.5752835,789386196.6871332,181545.33838862693,-444451.61698523513,-193383.73736871447,3293139.16877311
2443450.5,1977-11-03,8,1.46e+22,-4211517877.8305683,-1537081323.1128771,789192808.7987535,181589.62407210717,-444435.45733148296,-193392.0390980582,3293139.16877311
2443451.5,1977-11-04,8,1.46e+22,-4211336266.0638256,-1537525750.488205,788999412.609522,181633.90934423154,-444419.2924531466,-193400.33907268094,3293139.16877311
2443452.5,1977-11-05,8,1.46e+22,-4211154610.0120173,-1537970161.696042,788806008.1211932,181678.1942041765,-444403.12235015293,-193408.6372923149,3293139.16877311
2443453.5,1977-11-06,8,1.46e+22,-4210972909.6755548,-1538414556.7311637,788612595.3355224,181722.4786511185,-444386.94702242827,-193416.93375669175,3293139.16877311
2443454.5,1977-11-07,8,1.46e+22,-4210791165.054853,-1538858935.5883453,788419174.254265,181766.76268423413,-444370.76646989986,-193425.22846554365,3293139.16877311
2443455.5,1977-11-08,8,1.46e+22,-4210609376.150325,-1539303298.2623618,788225744.8791766,181811.04630269972,-444354.5806924945,-193433.5214186025,3293139.16877311
2443456.5,1977-11-09,8,1.46e+22,-4210427542.9623857,-1539747644.7479885,788032307.2120131,181855.32950569165,-444338.3896901396,-193441.81261560041,3293139.16877311
2443457.5,1977-11-10,8,1.46e+22,-4210245665.491452,-1540191975.0400004,787838861.2545308,181899.61229238624,-444322.19346276234,-193450.10205626953,3293139.16877311
2443458.5,1977-11-11,8,1.46e+22,-4210063743.7379403,-1540636289.1331723,787645407.0084862,181943.89466195976,-444305.9920102904,-193458.38974034193,3293139.16877311
2443459.5,1977-11-12,8,1.46e+22,-4209881777.7022676,-1541080587.0222793,787451944.4756358,181988.17661358853,-444289.7853326512,-193466.6756675498,3293139.16877311
2443460.5,1977-11-13,8,1.46e+22,-4209699767.3848524,-1541524868.702096,787258473.6577367,182032.45814644863,-444273.5734297725,-193474.95983762547,3293139.16877311
2443461.5,1977-11-14,8,1.46e+22,-4209517712.7861147,-1541969134.167397,787064994.5565463,182076.73925971627,-444257.3563015824,-193483.24225030115,3293139.16877311
2443462.5,1977-11-15,8,1.46e+22,-4209335613.906473,-1542413383.4129572,786871507.173822,182121.01995256747,-444241.13394800894,-193491.52290530913,3293139.16877311
2443463.5,1977-11-16,8,1.46e+22,-4209153470.74635,-1542857616.4335513,786678011.5113217,182165.30022417835,-444224.9063689803,-193499.80180238181,3293139.16877311
2443464.5,1977-11-17,8,1.46e+22,-4208971283.3061657,-1543301833.2239535,786484507.5708033,182209.58007372497,-444208.6735644248,-193508.07894125162,3293139.16877311
2443465.5,1977-11-18,8,1.46e+22,-4208789051.5863433,-1543746033.7789383,786290995.3540252,182253.85950038326,-444192.4355342711,-193516.35432165087,3293139.16877311
2443466.5,1977-11-19,8,1.46e+22,-4208606775.587306,-1544190218.09328,786097474.8627462,182298.13850332904,-444176.1922784478,-193524.62794331223,3293139.16877311
2443467.5,1977-11-20,8,1.46e+22,-4208424455.3094783,-1544634386.1617532,785903946.098725,182342.41708173833,-444159.9437968836,-193532.89980596813,3293139.16877311
2443468.5,1977-11-21,8,1.46e+22,-4208242090.7532845,-1545078537.979132,785710409.0637207,182386.69523478686,-444143.6900895075,-193541.16990935107,3293139.16877311
2443469.5,1977-11-22,8,1.46e+22,-4208059681.919151,-1545522673.5401902,785516863.7594929,182430.97296165046,-444127.4311562488,-193549.43825319377,3293139.16877311
2443470.5,1977-11-23,8,1.46e+22,-4207877228.807503,-1545966792.8397024,785323310.187801,182475.25026150484,-444111.1669970365,-193557.70483722893,3293139.16877311
2443471.5,1977-11-24,8,1.46e+22,-4207694731.4187703,-1546410895.8724422,785129748.3504051,182519.5271335258,-444094.8976118,-193565.9696611891,3293139.16877311
2443472.5,1977-11-25,8,1.46e+22,-4207512189.7533793,-1546854982.633184,784936178.2490654,182563.80357688884,-444078.6230004692,-193574.23272480714,3293139.16877311
2443473.5,1977-11-26,8,1.46e+22,-4207329603.81176,-1547299053.1167011,784742599.8855423,182608.0795907699,-444062.3431629726,-193582.49402781564,3293139.16877311
2443474.5,1977-11-27,8,1.46e+22,-4207146973.5943413,-1547743107.3177676,784549013.2615967,182652.35517434528,-444046.05809924105,-193590.75356994817,3293139.16877311
2443475.5,1977-11-28,8,1.46e+22,-4206964299.101555,-1548187145.2311575,784355418.3789895,182696.63032679056,-444029.76780920447,-193599.01135093745,3293139.16877311
